iter	Passed	Remaining
426	13020	17472
427	13051	17442
428	13078	17407
429	13108	17376
430	13137	17344
431	13168	17313
432	13198	17282
433	13229	17253
434	13261	17224
435	13290	17192
436	13317	17157
437	13346	17124
438	13377	17095
439	13406	17062
440	13435	17031
441	13466	17000
442	13496	16969
443	13527	16939
444	13555	16906
445	13587	16877
446	13617	16846
447	13649	16817
448	13682	16790
449	13714	16761
450	13744	16731
451	13775	16701
452	13804	16669
453	13835	16639
454	13864	16607
455	13894	16576
456	13924	16544
457	13954	16513
458	13987	16486
459	14017	16454
460	14047	16424
461	14077	16392
462	14105	16359
463	14137	16330
464	14166	16299
465	14197	16269
466	14227	16238
467	14259	16208
468	14289	16178
469	14320	16148
470	14349	16116
471	14379	16085
472	14410	16056
473	14439	16023
474	14469	15992
475	14496	15958
476	14527	15928
477	14558	15898
478	14587	15866
479	14621	15839
480	14652	15809
481	14682	15778
482	14713	15748
483	14745	15720
484	14776	15690
485	14805	15658
486	14836	15628
487	14865	15596
488	14894	15564
489	14924	15533
490	14954	15502
491	14984	15471
492	15014	15440
493	15046	15411
494	15076	15381
495	15105	15349
496	15138	15321
497	15163	15285
498	15193	15254
499	15220	15220
500	15250	15190
501	15280	15158
502	15309	15126
503	15339	15096
504	15370	15066
505	15399	15034
506	15427	15001
507	15458	14971
508	15488	14940
509	15515	14907
510	15543	14874
511	15574	14844
512	15603	14812
513	15634	14783
514	15663	14751
515	15692	14719
516	15721	14687
517	15753	14659
518	15786	14630
519	15816	14600
520	15845	14567
521	15874	14536
522	15904	14505
523	15935	14475
524	15965	14444
525	15995	14414
526	16024	14382
527	16054	14351
528	16086	14323
529	16118	14293
530	16149	14264
531	16178	14232
532	16209	14202
533	16239	14171
534	16269	14141
535	16297	14108
536	16329	14079
537	16357	14047
538	16383	14012
539	16415	13983
540	16446	13953
541	16476	13922
542	16508	13893
543	16536	13861
544	16566	13830
545	16598	13801
546	16630	13772
547	16658	13740
548	16687	13708
549	16719	13679
550	16749	13648
551	16778	13617
552	16806	13584
553	16838	13555
554	16867	13524
555	16897	13493
556	16928	13464
557	16960	13434
558	16990	13403
559	17019	13372
560	17049	13341
561	17078	13309
562	17106	13278
563	17136	13247
564	17165	13216
565	17194	13184
566	17227	13155
567	17260	13128
568	17289	13096
569	17317	13063
570	17345	13031
571	17375	13001
572	17404	12969
573	17436	12940
574	17468	12911
575	17497	12879
576	17528	12849
577	17559	12820
578	17589	12789
579	17620	12759
580	17649	12728
581	17677	12696
582	17709	12666
583	17739	12636
584	17769	12605
585	17799	12574
586	17828	12543
587	17857	12512
588	17888	12482
589	17917	12450
590	17945	12418
591	17974	12387
592	18004	12357
593	18034	12326
594	18063	12295
595	18091	12263
596	18123	12234
597	18153	12203
598	18182	12172
599	18213	12142
600	18243	12111
601	18272	12080
602	18302	12050
603	18333	12020
604	18362	11988
605	18390	11957
606	18422	11927
607	18453	11897
608	18482	11866
609	18513	11836
610	18543	11805
611	18569	11773
612	18600	11742
613	18633	11713
614	18661	11682
615	18690	11651
616	18722	11621
617	18752	11591
618	18783	11561
619	18812	11530
620	18841	11498
621	18869	11467
622	18898	11436
623	18931	11407
624	18962	11377
625	18991	11346
626	19019	11314
627	19049	11284
628	19079	11253
629	19109	11223
630	19140	11192
631	19169	11161
632	19199	11131
633	19232	11102
634	19264	11073
635	19293	11042
636	19324	11012
637	19357	10983
638	19385	10951
639	19416	10921
640	19448	10892
641	19476	10860
642	19506	10830
643	19536	10799
644	19568	10770
645	19598	10739
646	19628	10709
647	19660	10679
648	19692	10650
649	19721	10619
650	19749	10587
651	19779	10557
652	19809	10526
653	19837	10495
654	19863	10462
655	19896	10433
656	19927	10403
657	19957	10372
658	19988	10343
659	20019	10312
660	20048	10281
661	20077	10251
662	20108	10221
663	20139	10190
664	20165	10158
665	20193	10126
666	20224	10097
667	20254	10066
668	20284	10036
669	20315	10006
670	20345	9975
671	20375	9944
672	20405	9914
673	20437	9885
674	20467	9854
675	20496	9823
676	20527	9793
677	20555	9762
678	20585	9731
679	20615	9701
680	20670	9682
681	20711	9657
682	20746	9629
683	20776	9598
684	20806	9567
685	20838	9538
686	20868	9507
687	20899	9477
688	20929	9447
689	20958	9416
690	20988	9385
691	21021	9356
692	21054	9327
693	21086	9297
694	21118	9267
695	21148	9237
696	21177	9206
697	21207	9175
698	21236	9144
699	21266	9114
700	21297	9084
701	21327	9053
702	21357	9022
703	21387	8992
704	21418	8962
705	21448	8931
706	21478	8901
707	21511	8872
708	21539	8840
709	21571	8810
710	21602	8780
711	21632	8750
712	21662	8719
713	21693	8689
714	21722	8658
715	21750	8627
716	21782	8597
717	21814	8567
718	21842	8536
719	21870	8505
720	21901	8475
721	21932	8444
722	21962	8414
723	21993	8384
724	22023	8353
725	22053	8323
726	22084	8293
727	22115	8262
728	22144	8232
729	22175	8202
730	22208	8172
731	22235	8140
732	22263	8109
733	22297	8080
734	22326	8049
735	22357	8019
736	22389	7989
737	22420	7959
738	22449	7928
739	22480	7898
740	22512	7868
741	22540	7837
742	22571	7807
743	22600	7776
744	22628	7745
745	22660	7715
746	22692	7685
747	22723	7655
748	22752	7624
749	22781	7593
750	22812	7563
751	22841	7532
752	22871	7502
753	22901	7471
754	22930	7441
755	22960	7410
756	22991	7380
757	23023	7350
758	23054	7320
759	23084	7289
760	23115	7259
761	23144	7228
762	23173	7198
763	23203	7167
764	23231	7136
765	23260	7105
766	23288	7074
767	23319	7044
768	23351	7014
769	23380	6983
770	23409	6953
771	23437	6922
772	23468	6891
773	23497	6861
774	23526	6830
775	23556	6799
776	23586	6769
777	23618	6739
778	23650	6709
779	23682	6679
780	23712	6649
781	23740	6618
782	23772	6588
783	23806	6558
784	23835	6528
785	23865	6497
786	23897	6467
787	23929	6437
788	23959	6407
789	23989	6376
790	24020	6346
791	24050	6316
792	24084	6287
793	24115	6256
794	24146	6226
795	24176	6196
796	24210	6166
797	24241	6136
798	24269	6105
799	24299	6074
800	24329	6044
801	24358	6013
802	24388	5983
803	24418	5952
804	24448	5922
805	24479	5892
806	24510	5861
807	24540	5831
808	24570	5800
809	24599	5770
810	24630	5739
811	24659	5709
812	24688	5678
813	24721	5648
814	24750	5618
815	24780	5587
816	24811	5557
817	24843	5527
818	24873	5497
819	24902	5466
820	24933	5436
821	24962	5405
822	24993	5375
823	25021	5344
824	25052	5314
825	25080	5283
826	25110	5252
827	25140	5222
828	25169	5191
829	25196	5160
830	25225	5130
831	25255	5099
832	25286	5069
833	25314	5038
834	25347	5008
835	25376	4978
836	25408	4948
837	25437	4917
838	25470	4887
839	25498	4856
840	25526	4826
841	25558	4796
842	25589	4765
843	25617	4735
844	25647	4704
845	25676	4674
846	25706	4643
847	25737	4613
848	25770	4583
849	25800	4553
850	25829	4522
851	25855	4491
852	25885	4460
853	25915	4430
854	25945	4400
855	25976	4369
856	26006	4339
857	26038	4309
858	26068	4278
859	26098	4248
860	26129	4218
861	26159	4187
862	26191	4157
863	26222	4127
864	26250	4096
865	26280	4066
866	26310	4036
867	26339	4005
868	26370	3975
869	26401	3945
870	26431	3914
871	26460	3884
872	26491	3853
873	26519	3823
874	26549	3792
875	26579	3762
876	26608	3731
877	26639	3701
878	26670	3671
879	26700	3641
880	26731	3610
881	26760	3580
882	26790	3549
883	26820	3519
884	26851	3489
885	26881	3458
886	26910	3428
887	26940	3397
888	26969	3367
889	27000	3337
890	27030	3306
891	27059	3276
892	27091	3246
893	27123	3215
894	27152	3185
895	27183	3155
896	27212	3124
897	27244	3094
898	27273	3064
899	27302	3033
900	27332	3003
901	27363	2972
902	27395	2942
903	27427	2912
904	27457	2882
905	27490	2852
906	27519	2821
907	27551	2791
908	27581	2761
909	27610	2730
910	27641	2700
911	27673	2670
912	27706	2640
913	27734	2609
914	27763	2579
915	27793	2548
916	27823	2518
917	27857	2488
918	27888	2458
919	27917	2427
920	27950	2397
921	27979	2366
922	28008	2336
923	28039	2306
924	28070	2275
925	28098	2245
926	28127	2214
927	28159	2184
928	28189	2154
929	28219	2124
930	28248	2093
931	28276	2063
932	28305	2032
933	28335	2002
934	28364	1971
935	28393	1941
936	28423	1911
937	28454	1880
938	28486	1850
939	28516	1820
940	28547	1789
941	28575	1759
942	28605	1729
943	28634	1698
944	28661	1668
945	28693	1637
946	28723	1607
947	28756	1577
948	28786	1547
949	28818	1516
950	28847	1486
951	28879	1456
952	28907	1425
953	28938	1395
954	28968	1365
955	28998	1334
956	29030	1304
957	29058	1273
958	29088	1243
959	29120	1213
960	29150	1183
961	29184	1152
962	29215	1122
963	29245	1092
964	29277	1061
965	29312	1031
966	29342	1001
967	29373	971
968	29404	940
969	29435	910
970	29467	880
971	29496	849
972	29526	819
973	29557	789
974	29585	758
975	29618	728
976	29649	697
977	29680	667
978	29711	637
979	29742	606
980	29772	576
981	29803	546
982	29833	515
983	29862	485
984	29892	455
985	29924	424
986	29955	394
987	29983	364
988	30013	333
989	30045	303
990	30077	273
991	30109	242
992	30140	212
993	30172	182
994	30199	151
995	30229	121
996	30260	91
997	30291	60
998	30321	30
999	30353	0
